kb,coef_nJ,range_bytes,cyc_ctrl,dP_mW,ctrl_pct,T_s,n_fetch,n_ctrl
4,5.9114,3592,2.826,20.92,96.63,8.432,3592,29839999
8,5.8792,7900,2.824,20.82,96.66,9.816,7900,34760000
16,6.0538,16508,2.823,21.44,96.78,10.508,16508,37220000
24,6.0698,24040,2.823,21.50,96.81,10.272,24040,36385757
32,5.9171,32648,2.823,20.96,96.83,10.504,32648,37210000
48,6.5935,48788,2.823,23.36,96.84,10.503,48788,37208527
64,7.0735,64928,2.823,25.06,96.85,10.502,64928,37205000
96,7.5151,98284,2.823,26.62,96.86,10.617,98284,37612905
128,7.6167,130564,2.823,26.98,96.86,10.588,130564,37512500
192,8.0671,196196,2.823,28.58,96.87,10.619,196196,37622523
256,8.0304,261832,2.823,28.45,96.87,10.632,261832,37666250
