# Bucles dominados (M1). Generado 2026-08-15 00:10:46.,coef=(P_cat-P_idle)*T/n_i por instruccion (div: c~21 plegado).
parameter,coef,unit
P_idle,1.146210,W
T_idle,39.61,C
alu,2.430342e-09,J/instr
mul,1.486140e-09,J/instr
mulh,6.292170e-09,J/instr
div,1.060238e-08,J/instr
mem,2.447037e-09,J/instr
ctrl,6.086848e-09,J/instr
fp_add,4.327200e-09,J/instr
fp_mul,3.580950e-09,J/instr
fp_fma,5.163000e-09,J/instr
fp_div,9.390850e-09,J/instr
fp_sqrt,6.402500e-09,J/instr
fp_noncomp,2.699750e-09,J/instr
fp_conv,2.702700e-09,J/instr
