# Bucles dominados (M1). Generado 2026-08-15 02:10:19.,coef=(P_cat-P_idle)*T/n_i por instruccion (div: c~21 plegado).
parametro,coef,unidad
P_idle,1.146828,W
T_idle,39.37,C
alu,2.419720e-09,J/instr
mul,1.449457e-09,J/instr
mulh,6.072213e-09,J/instr
div,9.816398e-09,J/instr
mem,2.378781e-09,J/instr
ctrl,6.014856e-09,J/instr
fp_add,4.286400e-09,J/instr
fp_mul,3.507900e-09,J/instr
fp_fma,5.109150e-09,J/instr
fp_div,9.095625e-09,J/instr
fp_sqrt,6.165000e-09,J/instr
fp_noncomp,2.667875e-09,J/instr
fp_conv,2.631900e-09,J/instr
