date,category,rep,P_meas_W,T_s,temp_C,n_alu,n_mul,n_mulh,n_div,c_div,n_mem,n_ctrl,n_fp_add,n_fp_mul,n_fp_fma,n_fp_div,n_fp_sqrt,n_fp_noncomp,n_fp_conv,n_fetch,mcycle,n_stall
2026-08-14 23:31:03,idle,1,1.144390,0.000005,38.14,21,0,0,0,0,17,0,0,0,0,0,0,0,0,376,54,16
2026-08-14 23:32:02,alu,1,1.168662,40.000012,38.38,395384749,0,0,0,0,10,1538461,0,0,0,0,0,0,0,1348,400000122,3076902
2026-08-14 23:33:01,mul,1,1.159042,39.990000,38.50,6450031,387000000,0,0,0,10,2149999,0,0,0,0,0,0,0,1116,399900002,4299962
2026-08-14 23:33:59,mulh,1,1.157191,40.003977,38.63,1324666,0,79478100,0,0,10,441544,0,0,0,0,0,0,0,1116,400039772,318795452
2026-08-14 23:34:55,div,1,1.149895,39.992230,38.75,74350,0,0,19029760,399624960,10,74334,0,0,0,0,0,0,0,1348,399922302,380743848
2026-08-14 23:35:51,mem,1,1.157200,40.003199,39.00,3681309,0,0,0,0,196334730,1227091,0,0,0,0,0,0,0,1044,400031994,198788864
2026-08-14 23:36:48,ctrl,1,1.166695,39.930400,39.12,4712015,0,0,0,0,10,141436000,0,0,0,0,0,0,0,16508,399304004,253155979
2026-08-14 23:37:44,fp_add,1,1.174074,39.600001,39.12,33000014,0,0,0,0,14,32999999,264000000,0,0,0,0,0,0,372,396000005,65999978
2026-08-14 23:38:40,fp_mul,1,1.169140,39.600001,39.37,33000014,0,0,0,0,14,32999999,0,264000000,0,0,0,0,0,372,396000005,65999978
2026-08-14 23:39:37,fp_fma,1,1.179871,39.600001,39.24,33000014,0,0,0,0,14,32999999,0,0,264000000,0,0,0,0,372,396000005,65999978
2026-08-14 23:40:35,fp_div,1,1.152965,39.200001,39.12,4000014,0,0,0,0,14,3999999,0,0,0,32000000,0,0,0,372,392000006,351999979
2026-08-14 23:41:33,fp_sqrt,1,1.155665,40.000001,39.00,8000014,0,0,0,0,14,7999999,0,0,0,0,64000000,0,0,372,400000006,319999979
2026-08-14 23:42:30,fp_noncomp,1,1.167088,40.000000,39.61,20000014,0,0,0,0,14,19999999,0,0,0,0,0,320000000,0,404,400000005,39999978
2026-08-14 23:43:28,fp_conv,1,1.163509,39.600001,39.49,33000014,0,0,0,0,14,32999999,0,0,0,0,0,0,264000000,372,396000005,65999978
2026-08-14 23:44:30,idle,1,1.145977,0.000005,39.49,21,0,0,0,0,17,0,0,0,0,0,0,0,0,376,54,16
2026-08-14 23:45:26,alu,1,1.170077,40.000012,39.49,395384749,0,0,0,0,10,1538461,0,0,0,0,0,0,0,1348,400000122,3076902
2026-08-14 23:46:23,mul,1,1.160251,39.990000,39.61,6450031,387000000,0,0,0,10,2149999,0,0,0,0,0,0,0,1116,399900002,4299962
2026-08-14 23:47:19,mulh,1,1.158298,40.003977,39.49,1324666,0,79478100,0,0,10,441544,0,0,0,0,0,0,0,1116,400039772,318795452
2026-08-14 23:48:17,div,1,1.150871,39.992230,39.49,74350,0,0,19029760,399624960,10,74334,0,0,0,0,0,0,0,1348,399922302,380743848
