# Regresion NNLS (M2) - PROMEDIO de 5 tandas. Generado 2026-08-15 21:54:10.,coef diferenciales promediados campana a campana.
parametro,coef,unidad
P_idle,1.147701e+00,W
b0,1.147091e+00,W
alu,2.933738e-09,J/instr
mul,1.685373e-09,J/instr
mulh,6.462470e-09,J/instr
div,1.058740e-08,J/instr
mem,1.847166e-09,J/instr
ctrl,5.280134e-09,J/instr
fp_add,4.028981e-09,J/instr
fp_mul,4.004463e-09,J/instr
fp_fma,4.174329e-09,J/instr
fp_div,8.928148e-09,J/instr
fp_sqrt,6.212732e-09,J/instr
fp_noncomp,2.055298e-09,J/instr
fp_conv,2.527571e-09,J/instr
stall,4.273459e-10,J/ciclo
