date,program,P_meas_W,T_s,temp_C,n_alu,n_mul,n_mulh,n_div,c_div,n_mem,n_ctrl,n_fp_add,n_fp_mul,n_fp_fma,n_fp_div,n_fp_sqrt,n_fp_noncomp,n_fp_conv,n_fetch,mcycle,n_stall
2026-08-15 16:17:18,idle,1.148739,0.000005,39.49,21,0,0,0,0,17,0,0,0,0,0,0,0,0,376,54,16
2026-08-15 16:17:45,dmul,1.167668,12.192405,39.86,17476039,69632000,0,0,0,13056017,4352002,0,0,0,0,0,0,0,588,121924049,17407991
2026-08-15 16:18:15,dmul_d60,1.159815,12.255000,39.61,10321526,41123840,0,0,0,7710873,2570269,0,0,0,0,0,0,0,696,74568024,12841516
2026-08-15 16:18:43,dmul_d30,1.153997,12.129000,39.61,5160966,20561920,0,0,0,3855513,1285149,0,0,0,0,0,0,0,696,37284484,6420936
2026-08-15 16:19:13,dmulh,1.162218,12.013565,39.61,5242839,0,20889600,0,0,3916817,1305602,0,0,0,0,0,0,0,588,120135649,88780791
2026-08-15 16:19:41,dmulh_d60,1.156465,12.084000,39.49,3146086,0,12533760,0,0,2350233,783389,0,0,0,0,0,0,0,696,72862604,54049136
2026-08-15 16:20:10,dmulh_d30,1.152417,12.042000,39.61,1573246,0,6266880,0,0,1175193,391709,0,0,0,0,0,0,0,696,36431774,27024746
2026-08-15 16:20:33,ddiv,1.153817,11.948305,39.49,1341636,0,0,5324800,115148800,998419,332802,0,0,0,0,0,0,0,580,119483048,111485391
2026-08-15 16:21:01,ddiv_d60,1.151570,11.994000,39.49,810506,0,0,3215360,69532160,603053,200989,0,0,0,0,0,0,0,692,71950904,67120996
2026-08-15 16:21:30,ddiv_d30,1.149923,11.986000,39.61,402856,0,0,1597440,34544640,299693,99869,0,0,0,0,0,0,0,688,35845834,33445976
2026-08-15 16:21:54,dctrl,1.167723,8.760002,39.61,4800017,0,0,0,0,1200018,27200001,0,0,0,0,0,0,0,940,87600024,54399988
2026-08-15 16:22:29,dctrl_d60,1.158086,12.001000,39.49,3053236,0,0,0,0,763423,17300579,0,0,0,0,0,0,0,1052,72001554,50884316
2026-08-15 16:22:59,dctrl_d30,1.153284,12.000000,39.37,1526716,0,0,0,0,381793,8650299,0,0,0,0,0,0,0,1052,36001124,25442316
2026-08-15 16:23:27,fpadd,1.181279,12.000004,39.61,10000022,0,0,0,0,10000018,5000001,80000000,0,0,0,0,0,0,468,120000035,14999994
2026-08-15 16:23:55,fpadd_d60,1.168864,11.999000,39.37,6000246,0,0,0,0,6000163,3000019,48000000,0,0,0,0,0,0,580,72000814,9000386
2026-08-15 16:24:23,fpadd_d30,1.158167,11.998000,39.49,3000246,0,0,0,0,3000163,1500019,24000000,0,0,0,0,0,0,580,36000814,4500386
2026-08-15 16:24:52,fpmul,1.180062,12.000004,39.73,10000022,0,0,0,0,10000018,5000001,0,80000000,0,0,0,0,0,468,120000035,14999994
2026-08-15 16:25:21,fpmul_d60,1.167947,12.000000,39.61,6000246,0,0,0,0,6000163,3000019,0,48000000,0,0,0,0,0,580,72000814,9000386
2026-08-15 16:25:50,fpmul_d30,1.157699,12.000000,39.49,3000246,0,0,0,0,3000163,1500019,0,24000000,0,0,0,0,0,580,36000814,4500386
2026-08-15 16:26:17,fpfma,1.182731,12.000004,39.61,10000022,0,0,0,0,10000018,5000001,0,0,80000000,0,0,0,0,468,120000035,14999994
2026-08-15 16:26:46,fpfma_d60,1.168262,12.000000,39.49,6000246,0,0,0,0,6000163,3000019,0,0,48000000,0,0,0,0,580,72000814,9000386
2026-08-15 16:27:14,fpfma_d30,1.158050,12.000000,39.61,3000246,0,0,0,0,3000163,1500019,0,0,24000000,0,0,0,0,580,36000814,4500386
2026-08-15 16:27:37,fpdiv,1.154299,10.912871,39.49,800022,0,0,0,0,800018,400001,0,0,0,6400000,0,0,0,468,109128713,100728672
2026-08-15 16:28:08,fpdiv_d60,1.151697,13.247000,39.49,528066,0,0,0,0,527983,263929,0,0,0,4222560,0,0,0,580,84470924,78928386
2026-08-15 16:28:39,fpdiv_d30,1.149658,12.600000,39.49,264146,0,0,0,0,264063,131969,0,0,0,2111200,0,0,0,580,41980414,39209036
2026-08-15 16:29:08,fpsqrt,1.154182,11.677143,39.49,800022,0,0,0,0,800018,400001,0,0,0,0,6400000,0,0,468,116771426,108371385
2026-08-15 16:29:36,fpsqrt_d60,1.151634,12.689000,39.49,493526,0,0,0,0,493443,246659,0,0,0,0,3946240,0,0,580,78876184,73696316
2026-08-15 16:30:05,fpsqrt_d30,1.149679,12.344000,39.37,246886,0,0,0,0,246803,123339,0,0,0,0,1973120,0,0,580,39427884,36837736
2026-08-15 16:30:34,fpnoncomp,1.169341,12.000003,39.49,15000022,0,0,0,0,10000018,5000001,0,0,0,0,0,80000000,0,472,120000034,9999993
2026-08-15 16:31:03,fpnoncomp_d60,1.160394,12.000000,39.49,9000246,0,0,0,0,6000163,3000019,0,0,0,0,0,48000000,0,584,72000804,6000376
2026-08-15 16:31:32,fpnoncomp_d30,1.154030,12.001000,39.12,4500246,0,0,0,0,3000163,1500019,0,0,0,0,0,24000000,0,584,36000804,3000376
2026-08-15 16:32:00,fpconv,1.172357,12.000004,39.61,15000026,0,0,0,0,10000018,5000001,0,0,0,0,0,0,80000000,480,120000037,9999992
